fecha,señal,monto,precio,resultado,capital,colchon,beneficio_total
2025-05-19 13:11:21,hold,0.001,102801.02,0,20,0,0
2025-05-19 14:38:41,hold,0.001,102288.01,0,20,0,0
2025-05-19 16:11:23,hold,0.001,103502.24,0,20,0,0
2025-05-19 17:11:20,hold,0.001,104428.58,0,20,0,0
2025-05-19 18:11:20,hold,0.001,104675.85,0,20,0,0
2025-05-19 19:11:20,hold,0.001,105230.98,0,20,0,0
2025-05-19 20:11:21,hold,0.001,105400.0,0,20,0,0
2025-05-19 21:11:21,hold,0.001,104861.88,0,20,0,0
